ID,BioProject,BioSample,Run,Organism,lat,lon,counts
1429,PRJNA482684,SAMN09711177,SRR7589140,Daphnia pulex,40.1287,-88.214,861
1430,PRJNA482684,SAMN09711177,SRR7589142,Daphnia pulex,40.1287,-88.214,861
1431,PRJNA482684,SAMN09711177,SRR7589143,Daphnia pulex,40.1287,-88.214,861
1432,PRJNA482684,SAMN09711177,SRR7589147,Daphnia pulex,40.1287,-88.214,861
1433,PRJNA482684,SAMN09711177,SRR7589149,Daphnia pulex,40.1287,-88.214,861
1434,PRJNA482684,SAMN09711177,SRR7589154,Daphnia pulex,40.1287,-88.214,861
1435,PRJNA482684,SAMN09711177,SRR7589158,Daphnia pulex,40.1287,-88.214,861
1436,PRJNA482684,SAMN09711177,SRR7589159,Daphnia pulex,40.1287,-88.214,861
1437,PRJNA482684,SAMN09711177,SRR7589161,Daphnia pulex,40.1287,-88.214,861
1438,PRJNA482684,SAMN09711177,SRR7589163,Daphnia pulex,40.1287,-88.214,861
1439,PRJNA482684,SAMN09711177,SRR7589165,Daphnia pulex,40.1287,-88.214,861
1440,PRJNA482684,SAMN09711177,SRR7589170,Daphnia pulex,40.1287,-88.214,861
