ID,BioProject,BioSample,Run,Organism,lat,lon,counts
1200,PRJNA482684,SAMN09711182,SRR7592746,Daphnia pulex,39.9,-84.92,861
1201,PRJNA482684,SAMN09711182,SRR7592748,Daphnia pulex,39.9,-84.92,861
1202,PRJNA482684,SAMN09711182,SRR7592753,Daphnia pulex,39.9,-84.92,861
1203,PRJNA482684,SAMN09711182,SRR7592755,Daphnia pulex,39.9,-84.92,861
1204,PRJNA482684,SAMN09711182,SRR7592757,Daphnia pulex,39.9,-84.92,861
1205,PRJNA482684,SAMN09711182,SRR7592758,Daphnia pulex,39.9,-84.92,861
1206,PRJNA482684,SAMN09711182,SRR7592759,Daphnia pulex,39.9,-84.92,861
1207,PRJNA482684,SAMN09711182,SRR7592761,Daphnia pulex,39.9,-84.92,861
1208,PRJNA482684,SAMN09711182,SRR7592763,Daphnia pulex,39.9,-84.92,861
1209,PRJNA482684,SAMN09711182,SRR7592765,Daphnia pulex,39.9,-84.92,861
1210,PRJNA482684,SAMN09711182,SRR7592767,Daphnia pulex,39.9,-84.92,861
1211,PRJNA482684,SAMN09711182,SRR7592770,Daphnia pulex,39.9,-84.92,861
1212,PRJNA482684,SAMN09711182,SRR7592774,Daphnia pulex,39.9,-84.92,861
1213,PRJNA482684,SAMN09711182,SRR7592776,Daphnia pulex,39.9,-84.92,861
1214,PRJNA482684,SAMN09711182,SRR7592777,Daphnia pulex,39.9,-84.92,861
1215,PRJNA482684,SAMN09711182,SRR7592778,Daphnia pulex,39.9,-84.92,861
1216,PRJNA482684,SAMN09711182,SRR7592782,Daphnia pulex,39.9,-84.92,861
1217,PRJNA482684,SAMN09711182,SRR7592783,Daphnia pulex,39.9,-84.92,861
1218,PRJNA482684,SAMN09711182,SRR7592785,Daphnia pulex,39.9,-84.92,861
1219,PRJNA482684,SAMN09711182,SRR7592786,Daphnia pulex,39.9,-84.92,861
1220,PRJNA482684,SAMN09711182,SRR7592788,Daphnia pulex,39.9,-84.92,861
1221,PRJNA482684,SAMN09711182,SRR7592789,Daphnia pulex,39.9,-84.92,861
1222,PRJNA482684,SAMN09711182,SRR7592791,Daphnia pulex,39.9,-84.92,861
