vcf	model	NA_pop_est	EU_pop_est	t_est	m_est	theta	file	coeff
filt	split_mig	6.77376332604477	1.107720801952	9.94436866174363	0.00880549364188822	13257.6184446919	1	4854.136806053
filt	split_mig	0.703705423882147	0.066107058996299	0.856036648306646	0.000103643834428635	97505.6603395976	2	35700.6664980952
filt	split_mig	6.75057445919315	1.10612599801744	9.92988472175132	0.00890648171199127	13288.5892677854	3	4865.47644543987
filt	split_mig	6.731011128856	1.10318045470479	9.91469012715277	0.0089112186223401	13317.3265446055	4	4875.99829547654
filt	split_mig	6.76663707630277	1.10312569131556	9.95903455389724	0.00902202800456398	13264.4089596683	14	4856.62308130795
filt	split_mig	6.78922753000592	1.11071831440714	9.98294578133231	0.00880926883382016	13219.7594872428	25	4840.27514910765
filt	split_mig	6.75959333184618	1.10480925862162	9.95340534727059	0.00881068979431983	13268.2207913576	36	4858.01874317429
filt	split_mig	6.70357204503729	1.0994295730408	9.85902281060263	0.00896428303287829	13377.3209418206	47	4897.96460962967
filt	split_mig	6.75004234363286	1.10775321447299	9.98946237356441	0.00887379976982283	13253.5960586956	58	4852.66405195356
filt	split_mig	6.74694195846186	1.10281756869725	9.93303249380934	0.00895100602322716	13294.7131621476	69	4867.71864460587
filt	split_mig	6.75382869169389	1.10544024700393	9.95104089418535	0.00888780312530165	13274.7162224051	80	4860.39697656893
filt	split_mig	6.73062934020714	1.105278723862	9.91861085785992	0.00890786464151575	13312.7733077421	91	4874.3311759454
filt	split_mig	6.78778511400409	1.114147458184	9.98441166699504	0.00871238515648409	13214.4805861125	102	4838.34233527844
filt	split_mig	6.73379486157661	1.10592497140849	9.87637258059041	0.00887210429455482	13332.3182929089	113	4881.48736559349
filt	split_mig	6.76725819598683	1.10614280457477	9.95470651135463	0.0089865470413053	13261.9805048198	114	4855.73392824394
filt	split_mig	6.79346780964647	1.11659555121576	9.97479578406023	0.00890849643587116	13214.8553047036	125	4838.47953452827
filt	split_mig	6.74668084429103	1.11315366565628	9.96034906772942	0.00884603625764673	13265.31269611	136	4856.95397484989
filt	split_mig	6.68295191968458	1.09675736061656	9.85539142858726	0.00894842108657318	13400.1805443905	147	4906.33441139078
filt	split_mig	6.82012427225212	1.10213945475792	9.98972240548409	0.0086850720103781	13199.1753857549	158	4832.73849800634
filt	split_mig	6.79460328819459	1.11970470927537	9.9882700726087	0.00882462606025043	13201.4434234439	169	4833.56891602369
filt	split_mig	6.75874225808027	1.104697731983	9.97185828498946	0.00886998273948233	13259.7540656821	180	4854.91874109625
filt	split_mig	6.75131925537437	1.10679454366736	9.96846839929527	0.00890227074533433	13265.7124696799	191	4857.10034771526
filt	split_mig	6.69091641182774	1.09360004674007	9.84002472674747	0.00895730854159124	13406.1801669637	202	4908.53110975531
filt	split_mig	6.75745498464449	1.10534183887509	9.95692251980545	0.00886612964879393	13268.2205258622	213	4858.01864596596
filt	split_mig	6.74331933573573	1.10356880479553	9.97121235912275	0.00876521473078635	13272.9458626064	224	4859.74877804861
filt	split_mig	6.70249281993889	1.10113375106768	9.86567085493971	0.008887164119703	13371.2109748055	225	4895.72750981454
filt	split_mig	6.7547960372669	1.09597225432995	9.89934050475854	0.00886657522066106	13314.2105601959	236	4874.85741073371
filt	split_mig	6.78342931984864	1.10659314474531	9.98652284893539	0.00884943372882006	13228.3469859356	247	4843.4193709489
filt	split_mig	6.73457186566429	1.10321126670556	9.91434358670924	0.00891571735238022	13314.5339032082	258	4874.9757993586
filt	split_mig	6.77107559882927	1.10667701473863	9.98804872653215	0.00889720854090404	13238.429735438	269	4847.11106306313
filt	split_mig	6.76936588161561	1.10618995302032	9.95151942482612	0.00900705420078778	13262.2147939828	280	4855.81971074356
filt	split_mig	6.72493884665221	1.10358932516789	9.90022572951386	0.00884572776633796	13329.0577829374	291	4880.29356434438
filt	split_mig	6.79138396056265	1.10595141343047	9.9895691589815	0.00887161041578697	13221.1632262484	302	4840.78911330126
