vcf	model	NA_pop_est	EU_pop_est	t_est	m_est	theta	file	coeff
filt	split_mig	5.41901066083583	0.8861766415616	9.94436866174366	0.00880549364188818	13257.6184446919	1	4854.13680605298
filt	split_mig	0.562964339105718	0.0528856471970392	0.856036648306647	0.000103643834428635	97505.6603395976	2	35700.6664980952
filt	split_mig	5.4004595673545	0.884900798413949	9.92988472175129	0.00890648171199129	13288.5892677854	3	4865.47644543988
filt	split_mig	5.38480890308482	0.882544363763831	9.9146901271528	0.00891121862234008	13317.3265446055	4	4875.99829547653
filt	split_mig	5.4133096610422	0.882500553052447	9.95903455389721	0.009022028004564	13264.4089596683	14	4856.62308130796
filt	split_mig	5.43138202400474	0.888574651525711	9.98294578133232	0.00880926883382015	13219.7594872428	25	4840.27514910765
filt	split_mig	5.40767466547695	0.8838474068973	9.9534053472706	0.00881068979431983	13268.2207913576	36	4858.01874317428
filt	split_mig	5.36285763602981	0.879543658432634	9.8590228106026	0.00896428303287832	13377.3209418206	47	4897.96460962969
filt	split_mig	5.40003387490627	0.886202571578386	9.98946237356438	0.00887379976982285	13253.5960586956	58	4852.66405195357
filt	split_mig	5.39755356676947	0.882254054957795	9.93303249380931	0.00895100602322718	13294.7131621476	69	4867.71864460589
filt	split_mig	5.40306295335509	0.884352197603145	9.95104089418532	0.00888780312530168	13274.7162224051	80	4860.39697656894
filt	split_mig	5.3845034721657	0.8842229790896	9.9186108578599	0.00890786464151577	13312.7733077421	91	4874.33117594541
filt	split_mig	5.43022809120327	0.891317966547198	9.98441166699503	0.0087123851564841	13214.4805861125	102	4838.34233527845
filt	split_mig	5.3870358892613	0.884739977126795	9.87637258059044	0.00887210429455478	13332.3182929089	113	4881.48736559348
filt	split_mig	5.41380655678948	0.884914243659818	9.95470651135466	0.00898654704130527	13261.9805048198	114	4855.73392824392
filt	split_mig	5.43477424771718	0.893276440972612	9.97479578406024	0.00890849643587116	13214.8553047036	125	4838.47953452827
filt	split_mig	5.39734467543283	0.890522932525028	9.96034906772943	0.00884603625764671	13265.31269611	136	4856.95397484988
filt	split_mig	5.34636153574766	0.877405888493252	9.85539142858726	0.00894842108657318	13400.1805443905	147	4906.33441139078
filt	split_mig	5.4560994178017	0.881711563806338	9.9897224054841	0.00868507201037809	13199.1753857549	158	4832.73849800633
filt	split_mig	5.43568263055568	0.895763767420295	9.98827007260871	0.00882462606025042	13201.4434234439	169	4833.56891602369
filt	split_mig	5.40699380646421	0.883758185586401	9.97185828498945	0.00886998273948233	13259.7540656821	180	4854.91874109626
filt	split_mig	5.40105540429951	0.885435634933889	9.96846839929529	0.00890227074533431	13265.7124696799	191	4857.10034771525
filt	split_mig	5.35273312946219	0.874880037392055	9.84002472674746	0.00895730854159124	13406.1801669637	202	4908.53110975531
filt	split_mig	5.4059639877156	0.884273471100077	9.95692251980547	0.00886612964879392	13268.2205258622	213	4858.01864596595
filt	split_mig	5.39465546858857	0.882855043836424	9.97121235912272	0.00876521473078638	13272.9458626064	224	4859.74877804862
filt	split_mig	5.3619942559511	0.880907000854142	9.8656708549397	0.00888716411970301	13371.2109748055	225	4895.72750981455
filt	split_mig	5.40383682981353	0.876777803463964	9.89934050475854	0.00886657522066105	13314.2105601959	236	4874.85741073371
filt	split_mig	5.42674345587892	0.885274515796249	9.98652284893541	0.00884943372882004	13228.3469859356	247	4843.41937094889
filt	split_mig	5.38765749253143	0.882569013364449	9.91434358670924	0.00891571735238022	13314.5339032082	258	4874.9757993586
filt	split_mig	5.41686047906342	0.885341611790908	9.98804872653217	0.00889720854090403	13238.429735438	269	4847.11106306312
filt	split_mig	5.4154927052925	0.884951962416257	9.95151942482613	0.00900705420078778	13262.2147939828	280	4855.81971074356
filt	split_mig	5.37995107732176	0.882871460134308	9.90022572951385	0.00884572776633798	13329.0577829374	291	4880.29356434439
filt	split_mig	5.43310716845011	0.884761130744375	9.9895691589815	0.00887161041578697	13221.1632262484	302	4840.78911330126
filt	split_mig	5.35700977082088	0.876838115885206	9.85397463647371	0.00896452310199814	13390.7187396275	313	4902.87007162694
filt	split_mig	5.41232864031573	0.890158570036007	9.98293279336142	0.00875415328011968	13236.3806502017	324	4846.3608121711
